ビルドを開始しました...
1>------ ビルド開始: プロジェクト: CG2_2nd, 構成: Debug x64 ------
1>MyEngine.cpp
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): error C2220: 次の警告はエラーとして処理されます
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x12f から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x133 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x135 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x137 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x138 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x139 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x13a から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x13b から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x13d から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x13e から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x423 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x424 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x427 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x429 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x42b から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6e1 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6e3 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6e5 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6e7 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6e9 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6eb から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6ed から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6ee から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6ef から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x6f0 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7c2 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7c4 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7c6 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7c8 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7ca から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7cc から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7ce から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7cf から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7d0 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7d1 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7f2 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7f4 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7f6 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7f8 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7fa から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7fb から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7fc から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7fe から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x7ff から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x800 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x802 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x803 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x804 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x805 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x806 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x807 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x821 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x823 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x825 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x826 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x827 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x829 から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x82b から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x82c から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x82d から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
1>C:\01_nihonnkougakuinn\07_10days\n12\Scenes\State\GamePlayState2.h(1,1): warning C4828: オフセット 0x82f から始まる、現在のソースの文字セット (コードページ 65001) では使用できない文字がファイルに含まれています。
